,datetime,open,close,high,low,volume
67,2020-10-26 19:05:00-05:00,1.1,1.12,1.17,1.09,0
68,2020-10-26 19:10:00-05:00,1.12,1.14,1.24,1.12,0
69,2020-10-26 19:15:00-05:00,1.14,1.16,1.16,1.14,0
70,2020-10-26 19:20:00-05:00,1.16,1.17,1.17,1.15,0
71,2020-10-26 19:25:00-05:00,1.17,1.14,1.3,1.06,0
72,2020-10-26 19:30:00-05:00,1.15,1.14,1.15,1.03,0
73,2020-10-26 19:35:00-05:00,1.14,1.13,1.15,1.13,0
74,2020-10-26 19:40:00-05:00,1.13,1.15,1.15,1.13,0
75,2020-10-26 19:45:00-05:00,1.15,1.12,1.16,1.05,0
76,2020-10-26 19:50:00-05:00,1.13,1.19,1.26,1.12,0
77,2020-10-26 19:55:00-05:00,1.19,1.26,1.3,1.18,0
78,2020-10-27 13:30:00-05:00,1.16,1.16,1.16,1.16,0
79,2020-10-27 13:35:00-05:00,1.16,1.18,1.18,1.16,0
80,2020-10-27 13:40:00-05:00,1.18,1.18,1.18,1.18,0
81,2020-10-27 13:45:00-05:00,1.18,1.15,1.18,1.04,0
82,2020-10-27 13:50:00-05:00,1.15,1.2,1.22,1.15,0
83,2020-10-27 13:55:00-05:00,1.2,1.19,1.2,1.17,0
84,2020-10-27 14:00:00-05:00,1.19,1.18,1.19,1.18,0
85,2020-10-27 14:05:00-05:00,1.18,1.2,1.42,1.18,0
86,2020-10-27 14:10:00-05:00,1.2,1.2,1.21,1.2,0
87,2020-10-27 14:15:00-05:00,1.2,1.16,1.23,1.08,0
88,2020-10-27 14:20:00-05:00,1.16,1.11,1.16,1.03,0
89,2020-10-27 14:25:00-05:00,1.12,1.12,1.21,1.1,0
90,2020-10-27 14:30:00-05:00,1.16,1.13,1.17,1.12,0
91,2020-10-27 14:35:00-05:00,1.13,1.13,1.13,1.11,0
92,2020-10-27 14:40:00-05:00,1.13,1.13,1.13,1.13,0
93,2020-10-27 14:45:00-05:00,1.13,1.14,1.14,1.13,0
